,age,gender,administrator,artist,doctor,educator,engineer,entertainment,executive,healthcare,homemaker,lawyer,librarian,marketing,none,other,programmer,retired,salesman,scientist,student,technician,writer,AZ,CA,CO,CT,DC,FL,GA,IA,IL,KY,MA,MD,MI,MN,MO,NC,NJ,NY,OH,OR,PA,SC,TN,TX,VA,WA,WI,latitude,longitude,"('rating', 'count')","('rating', 'mean')","('rating', 'std')","('rating', 'min')","('rating', '25%')","('rating', '50%')","('rating', '75%')","('rating', 'max')"
13,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.0247,-80.9532,605.0,3.1107438016528928,1.4209758826553578,1.0,2.0,3.0,4.0,5.0
14,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9684,-93.0488,61.0,4.032786885245901,1.0322663273069617,1.0,4.0,4.0,5.0,5.0
15,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44.949,-123.004,104.0,2.875,1.3415503276259888,1.0,2.0,3.0,4.0,5.0
16,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.5352,-74.2116,140.0,4.328571428571428,1.0418775052128,1.0,4.0,5.0,5.0,5.0
17,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3616,-71.9774,28.0,3.0357142857142856,1.1379690439434391,1.0,2.0,3.0,4.0,5.0
18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.1337,-86.8006,277.0,3.88086642599278,0.8492720498768551,2.0,3.0,4.0,5.0,5.0
19,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.377,-71.1256,20.0,3.55,0.8255779474818965,2.0,3.0,4.0,4.0,5.0
20,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6707,-121.3781,48.0,3.1041666666666665,1.1529718000155968,1.0,2.0,3.0,4.0,5.0
21,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9679,-84.4385,179.0,2.670391061452514,1.3272279818760264,1.0,2.0,3.0,4.0,5.0
22,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2503,-85.7034,128.0,3.3515625,1.4932385338242642,1.0,2.0,4.0,5.0,5.0
23,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2325,-83.6336,150.0,3.64,0.9573453228141316,1.0,3.0,4.0,4.0,5.0
24,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2671,-122.0357,68.0,4.323529411764706,0.8184655550441196,2.0,4.0,5.0,5.0,5.0
25,39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9325,-93.088,78.0,4.051282051282051,0.6220501482568643,2.0,4.0,4.0,4.0,5.0
26,49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2141,-76.8788,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
27,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7699,-84.295,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
28,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1284,-93.4589,79.0,3.721518987341772,0.959923993529075,1.0,3.0,4.0,4.0,5.0
29,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4056,-122.0775,34.0,3.6470588235294117,0.8835998319950068,2.0,3.0,4.0,4.0,5.0
30,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9034,-93.374,43.0,3.7674418604651163,0.9961164901835045,1.0,3.0,4.0,4.0,5.0
31,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.7313,-73.9892,36.0,3.9166666666666665,0.9673232581274398,2.0,3.0,4.0,5.0,5.0
32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.2315,-97.7223,41.0,3.317073170731707,0.9066152544007823,1.0,3.0,3.0,4.0,5.0
33,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.9055,-79.0901,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
34,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9882,-85.9221,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
35,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5487,-87.9965,25.0,3.0,0.9574271077563381,1.0,2.0,3.0,4.0,5.0
36,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4296,-119.8612,20.0,3.8,1.2814465510343749,1.0,3.0,4.0,5.0,5.0
37,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9347,-93.1651,57.0,3.6491228070175437,0.9908731371547203,1.0,3.0,4.0,4.0,5.0
38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.4507,-89.5428,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
39,41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.202,-72.6262,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
40,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.9203,-79.0372,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
41,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5384,-105.0547,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
42,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40.8224,-76.8683,183.0,3.726775956284153,1.0647674198245467,1.0,3.0,4.0,5.0,5.0
43,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0388,-77.1922,217.0,3.7142857142857144,1.0052770814964451,1.0,3.0,4.0,4.0,5.0
44,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8977,-86.1797,151.0,3.6490066225165565,1.0013236273166215,1.0,3.0,4.0,4.0,5.0
45,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5873,-94.1897,48.0,3.6041666666666665,0.9165054661613022,2.0,3.0,4.0,4.0,5.0
46,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3266,-85.816,27.0,4.111111111111111,0.9336995618478525,2.0,4.0,4.0,5.0,5.0
47,53,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.732,-74.1765,25.0,3.64,0.9073771725877466,2.0,3.0,4.0,4.0,5.0
48,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.5372,-74.0526,66.0,3.787878787878788,1.045358260489624,1.0,3.0,4.0,5.0,5.0
49,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.7824,-97.3003,215.0,2.683720930232558,1.2539526725254468,1.0,2.0,3.0,4.0,5.0
50,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6649,-91.5151,24.0,3.5416666666666665,1.3824731042801415,1.0,2.0,4.0,5.0,5.0
51,28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42.0763,-80.0668,23.0,3.5652173913043477,1.1994728750020203,1.0,3.0,4.0,4.5,5.0
52,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9347,-93.1651,56.0,4.267857142857143,0.7259118761585679,2.0,4.0,4.0,5.0,5.0
53,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9779,-93.2199,28.0,3.8214285714285716,0.9048663264720755,2.0,3.0,4.0,4.0,5.0
54,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29649438325991,-92.19721552863436,56.0,3.732142857142857,1.1035656495456638,1.0,3.0,4.0,5.0,5.0
55,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5959,-72.2267,21.0,3.2857142857142856,1.4880476182856899,1.0,2.0,3.0,5.0,5.0
56,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8977,-86.1797,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
57,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8775,-111.8727,106.0,3.5,1.0258562045340236,1.0,3.0,3.0,4.0,5.0
58,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6438,-91.5669,125.0,4.04,1.1100711979490907,1.0,4.0,4.0,5.0,5.0
59,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.3194,-74.5356,382.0,3.9345549738219896,1.0615739742214034,1.0,3.0,4.0,5.0,5.0
60,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3962,-72.7809,207.0,4.086956521739131,0.6325890037101715,2.0,4.0,4.0,4.0,5.0
61,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2321,-84.158,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
62,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.5142,-122.6364,232.0,3.3017241379310347,1.1144064682083172,1.0,3.0,3.0,4.0,5.0
63,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.9374,-96.7872,93.0,3.118279569892473,0.9874149645895922,1.0,3.0,3.0,4.0,5.0
64,32,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40.0201,-83.0118,25.0,3.6,0.9574271077563381,1.0,3.0,4.0,4.0,5.0
65,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3207,-84.0334,80.0,3.9375,0.8907932746871454,1.0,3.75,4.0,5.0,5.0
66,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5813,-105.1039,38.0,3.473684210526316,1.032887375280686,1.0,3.0,4.0,4.0,5.0
67,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8347,-87.7914,30.0,3.7666666666666666,0.8976341829703132,1.0,3.0,4.0,4.0,5.0
68,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.0401,-78.4851,34.0,3.0294117647058822,1.6046389968340005,1.0,1.0,3.0,4.75,5.0
69,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7609,-93.2753,65.0,3.8461538461538463,1.064054293004609,1.0,3.0,4.0,5.0,5.0
70,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1139,-88.0429,131.0,3.4656488549618323,0.8161608997068024,1.0,3.0,4.0,4.0,5.0
71,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.7188,-122.1966,38.0,3.789473684210526,1.0438466993391293,1.0,3.0,4.0,5.0,5.0
72,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6665,-97.4798,137.0,3.8175182481751824,1.0517420989383572,1.0,4.0,4.0,4.0,5.0
73,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29649438325991,-92.19721552863436,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
74,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29649438325991,-92.19721552863436,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
75,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.4284,-74.4064,79.0,3.278481012658228,1.3581351171476757,1.0,2.0,4.0,4.0,5.0
76,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3471,-71.1027,82.0,3.5609756097560976,1.1232400332241004,1.0,3.0,4.0,4.75,5.0
77,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.7269,-81.6202,72.0,3.611111111111111,1.205101311334043,1.0,3.0,4.0,5.0,5.0
78,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1095,-88.2036,21.0,3.380952380952381,1.2835961388299078,1.0,3.0,4.0,4.0,5.0
79,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7045,-72.285,105.9322033898305,3.5943931086034993,1.012554729639886,1.2697740112994351,2.9901129943502824,3.6977401129943503,4.347104519774011,4.978813559322034
80,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6937,-91.5906,29.0,3.7586206896551726,1.0231314820474688,1.0,3.0,4.0,5.0,5.0
81,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3265,-76.6048,58.0,3.293103448275862,1.1083197443776658,1.0,3.0,3.0,4.0,5.0
82,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.0266,-78.4805,168.0,3.0714285714285716,1.18660905977313,1.0,2.0,3.0,4.0,5.0
83,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41.3232,-81.7457,139.0,3.5467625899280577,1.0849632437688734,1.0,3.0,4.0,4.0,5.0
84,32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1284,-93.4589,68.0,3.8529411764705883,0.7967228751402394,2.0,3.0,4.0,4.0,5.0
